0,M50MHur,M55MHur,M60MHur,MShortHur,MLongHur,MSteeple.,M1500mWalk,MMileWalk,M3kmWalk,M5kmWalk,M8kmWalk,M10kmWalk,M15kmWalk,M20kmWalk,MH.Mar.Walk,M25kmWalk,M30kmWalk,M40kmWalk,MMar.Walk,M50kmWalk,MHighJump,MPoleVault,MLongJump,MTripleJump,MHammer,MShotput,MDiscus,MJavelin,MWeight,M50m,M55m,M60m,M100m,M200m,M300m,M400m,M500m,M600m,M800m,M1000m,M1500m,Mmile,M2km,M3km,M2Mile,M4km,M3Mile,M5km,M6km,M4Mile,M8km,M5Mile,M10km
Event,50Hur,55Hur,60Hur,ShortHur,LongHur,Steeple,1500mWalk,1MileWalk,3kmWalk,5kmWalk,8kmWalk,10kmWalk,15kmWalk,20kmWalk,H.Mar.Walk,25kmWalk,30kmWalk,40kmWalk,Mar.Walk,50kmWalk,HighJump,PoleVault,LongJump,TripleJump,Hammer,Shotput,Discus,Javelin,Weight,50m,55m,60m,100m,200m,300m,400m,500m,600m,800m,1000m,1500m,1Mile,2km,3km,2Mile,4km,3Mile,5km,6km,4Mile,8km,5Mile,10km
isRoad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dist(km),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.055,0.06,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1,1.5,1.609344,2,3,3.218688,4,4.828032,5,6,6.437376,8,8.04672,10
OC,6.25,6.76,7.3,12.91,46.78,473.63,309,332.37,631.42,1077.59,1766,2231,3424,4641,4919,5931,7264,10038,10655,12929,2.45,6.14,8.95,18.29,86.74,23.12,74.08,98.48,25.86,5.54,5.97,6.39,9.79,19.32,30,43.18,57.66,72.15,101.11,130.5,205.8,222.6,283.2,440,474.6,598,730,757,919,990,1247,1255,1580
5,0,0,0,0,0,0,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0.6496,0,0,0,0,0,0,0,0,0,0.5197,0.5255,0.5294,0.5344,0.5169,0.525,0.5331,0.5387,0.5443,0.5555,0.5623,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526,0.6526
6,0,0,0,0,0,0,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0.6869,0,0,0,0,0,0,0,0,0,0.6346,0.6399,0.6442,0.6441,0.6129,0.6137,0.6146,0.6159,0.6173,0.6199,0.6216,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899,0.6899
7,0,0,0,0,0,0,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0,0,0,0,0,0,0,0,0,0.7066,0.7124,0.7164,0.7156,0.6812,0.6795,0.6777,0.6769,0.676,0.6743,0.6733,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725
8,0,0,0,0,0,0,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,1.956,0,2.199,0,0,0,0,0,0,0.7579,0.7634,0.768,0.7678,0.734,0.7315,0.7291,0.7272,0.7253,0.7214,0.719,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579
9,0,0,0,0,0,0,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,1.6554,0,1.8568,0,0,0,0,0,0,0.796,0.8024,0.8068,0.8078,0.7765,0.7746,0.7725,0.7701,0.7677,0.7628,0.7598,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886
10,0,0,0,0,0,0,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,1.4671,0,1.6332,0,0,0,0,0,0,0.8269,0.8338,0.8386,0.8403,0.8121,0.8108,0.8095,0.807,0.8045,0.7995,0.7964,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171
