,F50FHur,F55FHur,F60FHur,FShortHur,FLongHur,FSteeple.,F1500mWalk,FMileWalk,F3kmWalk,F5kmWalk,F8kmWalk,F10kmWalk,F15kmWalk,F20kmWalk,FH.Mar.Walk,F25kmWalk,F30kmWalk,F40kmWalk,FMar.Walk,F50kmWalk,FHighJump,FPoleVault,FLongJump,FTripleJump,FHammer,FShotput,FDiscus,FJavelin,FWeight,F50m,F55m,F60m,F100m,F200m,F300m,F400m,F500m,F600m,F800m,F1000m,F1500m,Fmile,F2km,F3km,F2Mile,F4km,F3Mile,F5km,F6km,F4Mile,F8km,F5Mile,F10km
Event,50Hur,55Hur,60Hur,ShortHur,LongHur,Steeple,1500mWalk,1MileWalk,3kmWalk,5kmWalk,8kmWalk,10kmWalk,15kmWalk,20kmWalk,H.Mar.Walk,25kmWalk,30kmWalk,40kmWalk,Mar.Walk,50kmWalk,HighJump,PoleVault,LongJump,TripleJump,Hammer,Shotput,Discus,Javelin,Weight,50m,55m,60m,100m,200m,300m,400m,500m,600m,800m,1000m,1500m,1Mile,2km,3km,2Mile,4km,3Mile,5km,6km,4Mile,8km,5Mile,10km
isRoad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dist(km),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.055,0.06,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1,1.5,1.609344,2,3,3.218688,4,4.828032,5,6,6.437376,8,8.04672,10
OC,6.58,7.12,7.69,12.21,52.34,541.59,337,362,695,1187,1944,2457,3761,5089,5411,6577,8118,11334,12062,14706,2.09,5.15,7.52,15.5,77,22.63,76.8,73,23.6,5.96,6.45,6.92,10.49,21.34,33,47.6,63.7,80,113.28,146.5,232.47,251.6,321.5,501.42,541.5,683,833,864.68,1051,1132,1425,1435,1801.09
5,0,0,0,0,0,0,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0,0,0,0,0,0,0,0,0,0.5114,0.5181,0.5233,0.5333,0.5006,0.4912,0.4819,0.5111,0.5404,0.5989,0.6157,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725
6,0,0,0,0,0,0,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0.7549,0,0,0,0,0,0,0,0,0,0.6545,0.6588,0.662,0.6647,0.6287,0.6114,0.5939,0.6116,0.6292,0.6645,0.6699,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579,0.7579
7,0,0,0,0,0,0,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0.7856,0,0,0,0,0,0,0,0,0,0.7447,0.7463,0.7473,0.743,0.7079,0.6884,0.6688,0.681,0.6933,0.7177,0.7185,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886,0.7886
8,0,0,0,0,0,0,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,1.5713,0,1.7864,0,0,0,0,0,0,0.8085,0.8077,0.8068,0.797,0.764,0.7443,0.7246,0.734,0.7434,0.7622,0.7623,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171,0.8171
9,0,0,0,0,0,0,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,0.8404,1.4616,0,1.642,0,0,0,0,0,0,0.8558,0.8532,0.8509,0.8369,0.8066,0.7876,0.7686,0.7765,0.7844,0.8001,0.8016,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434,0.8434
10,0,0,0,0,0,0,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,0.8645,1.3749,0,1.5253,0,0,0,0,0,0,0.8917,0.8879,0.8845,0.8678,0.8404,0.8225,0.8047,0.8117,0.8187,0.8327,0.8367,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675,0.8675
